"synonym","species"
"Abelia_zanderi","Abelia_dielsii"
"Abildgaardia_ovata","Fimbristylis_ovata"
"Abromeitiella_lorentziana","Deuterocohnia_lorentziana"
"Acacallis_cyanea","Aganisia_cyanea"
"Acacallis_fimbriata","Aganisia_fimbriata"
"Acacia_acanthophylla","Acacia_hayesii"
"Acacia_albida","Faidherbia_albida"
"Acacia_inophloia","Racosperma_inophloia"
"Acacia_linearis","Acacia_boormanii"
"Acacia_paniculata","Acacia_aculeatissima"
"Acalypha_arvensis","Acalypha_aristata"
"Acampe_papillosa","Acampe_praemorsa"
"Acanthopanax_sciadophylloides","Chengiopanax_sciadophylloides"
"Acanthus_longifolius","Acanthus_hungaricus"
"Acer_kweilinense","Acer_erianthum"
"Acer_syriacum","Acer_obtusifolium"
"Aceras_anthropophorum","Orchis_anthropophora"
"Achnatherum_aridum","Stipa_arida"
"Achnatherum_contractum","Oryzopsis_contracta"
"Achnatherum_diegoense","Stipa_diegoensis"
"Achnatherum_inebrians","Stipa_inebrians"
"Acioa_barteri","Dactyladenia_barteri"
"Acioa_pallescens","Dactyladenia_pallescens"
"Acion_hookeri","Chordifex_hookeri"
"Acmena_acuminatissima","Syzygium_acuminatissimum"
"Acmena_divaricata","Syzygium_divaricatum"
"Acmena_graveolens","Syzygium_graveolens"
"Acmena_ingens","Syzygium_ingens"
"Acmena_mackinnoniana","Syzygium_mackinnonianum"
"Acmena_macrocarpa","Syzygium_graveolens"
"Acmena_resa","Syzygium_resa"
"Acmena_smithii","Syzygium_smithii"
"Acnistus_ellipticus","Iochroma_ellipticum"
"Aconogonon_campanulatum","Persicaria_campanulata"
"Acrocomia_vinifera","Acrocomia_aculeata"
"Acronychia_melicopoides","Acronychia_acronychioides"
"Acronychia_oligophlebia","Maclurodendron_oligophlebium"
"Actinidia_glaucophylla","Actinidia_fortunatii"
"Actinodaphne_maingayi","Actinodaphne_macrophylla"
"Actinostemon_lanceolatus","Actinostemon_lasiocarpus"
"Adenanthera_bicolor","Adenanthera_aglaosperma"
"Adenanthera_falcataria","Falcataria_moluccana"
"Adenanthera_tamarindifolia","Adenanthera_forbesii"
"Adenostephanus_guyanensis","Euplassa_pinnata"
"Adesmia_remyana","Adesmia_aegiceras"
"Adina_polycephala","Metadina_trichotoma"
"Adina_rubescens","Pertusadina_eurhyncha"
"Adina_sessilifolia","Neonauclea_sessilifolia"
"Adinandra_acutifolia","Adinandra_bockiana"
"Adinandra_lamponga","Adinandra_sarosanthera"
"Aesculus_georgiana","Aesculus_sylvatica"
"Aetheopappus_pulcherrimus","Psephellus_pulcherrimus"
"Aframomum_biauriculatum","Aframomum_alboviolaceum"
"Afrormosia_laxiflora","Pericopsis_laxiflora"
"Afrosersalisia_afzelii","Synsepalum_afzelii"
"Agalinis_tenella","Agalinis_obtusifolia"
"Aganosma_marginata","Amphineurion_marginatum"
"Agauria_salicifolia","Agarista_salicifolia"
"Agelaea_nitida","Agelaea_pentagyna"
"Agelaea_trifolia","Agelaea_pentagyna"
"Aglaia_borneensis","Aglaia_rufinervis"
"Aglaia_elliptifolia","Aglaia_rimosa"
"Aglaia_greenwoodii","Aglaia_basiphylla"
"Aglaia_griffithii","Aglaia_exstipulata"
"Aglaia_lanceolata","Aglaia_rimosa"
"Aglaia_merostela","Aglaia_grandis"
"Agonis_floribunda","Taxandria_floribunda"
"Agonis_obtusissima","Agonis_baxteri"
"Agonis_spathulata","Taxandria_spathulata"
"Agropyron_smithii","Elymus_smithii"
"Agrostis_nigritella","Agrostis_foliata"
"Aiphanes_acanthophylla","Aiphanes_minima"
"Aiphanes_aculeata","Aiphanes_horrida"
"Aitchisonia_rosea","Plocama_rosea"
"Akania_hillii","Akania_bidwillii"
"Alangium_griffithii","Alangium_uniloculare"
"Alangium_longifolium","Alangium_longiflorum"
"Alania_endlicheri","Alania_cunninghamii"
"Alberta_minor","Razafimandimbisonia_minor"
"Albizia_dinklagei","Samanea_dinklagei"
"Albizia_falcataria","Falcataria_moluccana"
"Albizia_marginata","Albizia_philippinensis"
"Albizia_plurijuga","Hesperalbizia_occidentalis"
"Albizia_purpusii","Albizia_tomentosa"
"Albizia_sumatrana","Albizia_carbonaria"
"Alcantarea_duarteana","Vriesea_duarteana"
"Alchemilla_orbiculata","Lachemilla_orbiculata"
"Alchemilla_verticillata","Lachemilla_verticillata"
"Alchornea_ilicifolia","Alchornea_aquifolia"
"Aleurites_montana","Vernicia_montana"
"Aleurites_trisperma","Reutealis_trisperma"
"Alibertia_sessilis","Cordiera_sessilis"
"Alibertia_verrucosa","Cordiera_macrophylla"
"Allamanda_violacea","Allamanda_blanchetii"
"Allium_dregeanum","Allium_synnotii"
"Allophylus_glaber","Allophylus_triphyllus"
"Allophylus_varians","Allophylus_sootepensis"
"Alloschmidia_glabrata","Basselinia_glabrata"
"Allotoonia_agglutinata","Echites_agglutinatus"
"Allotoonia_woodsoniana","Echites_woodsonianus"
"Aloe_doei","Aloe_splendens"
"Alonsoa_unilabiata","Diascia_unilabiata"
"Alophia_rotacea","Alophia_silvestris"
"Alphitonia_moluccana","Alphitonia_incana"
"Alsobia_dianthiflora","Episcia_dianthiflora"
"Alsobia_punctata","Episcia_punctata"
"Alstonia_pacifica","Tabernaemontana_pandacaqui"
"Alternanthera_angustifolia","Alternanthera_polycephala"
"Alyssum_pyrenaicum","Ptilotrichum_pyrenaicum"
"Alyssum_spinosum","Ptilotrichum_spinosum"
"Ambelania_quadrangularis","Rhigospira_quadrangularis"
"Amerorchis_rotundifolia","Platanthera_rotundifolia"
"Amitostigma_chinense","Amitostigma_gracile"
"Amorphophallus_pingbianensis","Amorphophallus_coaetaneus"
"Amorphophallus_sinensis","Amorphophallus_kiusianus"
"Amorphospermum_antilogum","Niemeyera_antiloga"
"Amorphospermum_whitei","Niemeyera_whitei"
"Amparoa_costaricensis","Amparoa_beloglossa"
"Ampelosycios_humblotii","Ampelosicyos_humblotii"
"Amphianthus_pusillus","Gratiola_amphiantha"
"Amphicarpum_purshii","Amphicarpum_amphicarpon"
"Amphirrhox_latifolia","Amphirrhox_longifolia"
"Amphirrhox_surinamensis","Amphirrhox_longifolia"
"Amphithalea_villosa","Coelidium_villosum"
"Anaphalis_mariae","Anaphalioides_mariae"
"Anaxagorea_costaricensis","Anaxagorea_phaeocarpa"
"Ancistrocladus_extensus","Ancistrocladus_tectorius"
"Ancistrocladus_pinangianus","Ancistrocladus_tectorius"
"Ancistrocladus_stelligerus","Ancistrocladus_tectorius"
"Andrachne_arida","Phyllanthopsis_arida"
"Andrachne_ovalis","Pseudophyllanthus_ovalis"
"Andromeda_catesbaei","Leucothoe_catesbaei"
"Andromeda_floribunda","Pieris_floribunda"
"Aneilema_keisak","Murdannia_keisak"
"Aneilema_nudiflorum","Murdannia_gigantea"
"Aneilema_vitiense","Rhopalephora_vitiensis"
"Anemopaegma_carrerense","Anemopaegma_karstenii"
"Anetholea_anisata","Syzygium_anisatum"
"Angadenia_sagraei","Angadenia_berteroi"
"Aningeria_altissima","Pouteria_altissima"
"Aningeria_robusta","Pouteria_pierrei"
"Anisoptera_oblonga","Anisoptera_costata"
"Annamocarya_sinensis","Carya_sinensis"
"Anodiscus_xanthophyllus","Gloxinia_xanthophylla"
"Anomatheca_fistulosa","Xenoscapa_fistulosa"
"Anomatheca_verrucosa","Freesia_verrucosa"
"Anomatheca_viridis","Freesia_viridis"
"Anthocephalus_cadamba","Neolamarckia_cadamba"
