Kew growth form category,Herb or woody mapping
Biennial,H
Biennial or hemicryptophyte,
Bulb geophyte,H
Caudiform chamaephyte,
Caudiform nanophanerophyte or phanerophyte,W
Chamaephyte,
Chamaephyte or climbing nanophanerophyte,
Chamaephyte or nanophanerophyte,
Chamaephyte or phanerophyte,
Chamaephyte or rhizome geophyte,
Chamaephyte or Tuber geophyte,
Chamaephyte_ nanophanerophyte or phanerophyte,
Chamaephyte_ sometimes tuberous,
Climbing chamaephyte,
Climbing chamaephyte or climbing nanophanerophyte,
Climbing chamaephyte or nanophanerophyte,
Climbing hemicryptophyte,H
Climbing hemicryptophyte or nanophanerophyte,
Climbing nanophanerophyte,W
Climbing nanophanerophyte or phanerophyte,W
Climbing phanerophyte,W
Climbing rhizome geophyte,H
Climbing tuber geophyte,H
Epiphyte,
Epiphyte or hemicryptophyte,
Epiphytic chamaephyte,
Epiphytic hemicryptophyte,H
Epiphytic hemicryptophyte  or chamaephyte,
Epiphytic scrambling chamaephyte,
Geophyte,H
Helophyte,H
Helophyte or hemicryptophyte,H
Helophyte or rhizome geophyte,H
Helophyte or therophyte,H
Helophyte or tuber geophyte,H
Hemicryptophyte,H
Hemicryptophyte or bulb geophyte,H
Hemicryptophyte or chamaephyte,
Hemicryptophyte or helophyte,H
Hemicryptophyte or lithophyte,
Hemicryptophyte or nanophanerophyte,
Hemicryptophyte or rhizome geophyte,H
Hemicryptophyte or therophyte,H
Hemicryptophyte or tuber geophyte,H
Hemicryptophyte_ sometimes tuberous,H
Herbaceus phanerophyte,H
Holomycotrophic hemicr.,H
Holomycotrophic rhizome geophyte,H
Holoparasitic geophyte,H
Hydrochamaephyte,H
Hydrohemicryptophyte,H
Hydrotherophyte,H
Liana,W
Lithophyte,
Lithophyte or epiphyte,
Monocarpic hemicryptophyte,H
Nanophanerophyte,W
Nanophanerophyte or phanerophyte,W
Pachycaul phanerophyte,W
Phanerophyte,W
Pseudobulb epiphyte,H
Pseudobulb geophyte,H
Rhizome chamaephyte,
Rhizome epiphyte,
Rhizome geophyte,H
Rhizome geophyte or chamaephyte,H
Scrambling chamaephyte,
Scrambling chamaephyte or nanophanerophyte,
Scrambling hemicryptophyte,H
Scrambling nanophanerophyte,W
Scrambling nanophanerophyte or phanerophyte,W
Scrambling phanerophyte,W
Scrambling ther. or chamaephyte,
Scrambling tuber geophyte,H
Semisucculent chamaephyte,
Semisucculent chamaephyte or nanophanerophyte,
Semisucculent nanophanerophyte,
Semisucculent nanophanerophyte or phanerophyte,
Succ. hemicr.,H
Succ. nanophanerophyte,W
Succ. nanophanerophyte or phanerophyte,W
Succ. phanerophyte,W
Succ. tuber chamaephyte,
Succulent chamaephyte,
Succulent chamaephyte or nanophanerophyte,
Therophyte,H
Therophyte or biennial,H
Therophyte or chamaephyte,
Therophyte or helophyte,H
Therophyte or hemicryptophyte,H
Therophyte or tuber geophyte,H
Therophyte_ hemicryptophyte or chamaephyte,H
Tuber chamaephyte,
Tuber chamaephyte or nanophanerophyte,
Tuber geophyte,H
Tuber geophyte or chamaephyte,
Tuber geophyte or hemicryptophyte,
Tuber helophyte,H
Tuber hemicryptophyte,
Tuber hydrogeophyte,
Tuber nanophanerophyte,
Tuber nanophanerophyte or phanerophyte,
Tuber phanerophyte,
